"Name","sweep_rc_split","total","Runtime","vector_size","dm","epochs","pre_process_rc_question","number_of_most_likely_docs","f1","exact"
"silver-sweep-34","train[:20%]","4086","62","70","0","100","0","2","19.20734171055351","0.07342143906020558"
"northern-sweep-87","train[:20%]","4086","41","80","1","50","1","2","17.261137747064517","0.07342143906020558"
"copper-sweep-132","train[:20%]","4086","133","100","1","150","0","2","19.30118060697474","0.07342143906020558"
"rich-sweep-16","train[:20%]","4086","30","100","0","50","1","2","19.666341122648575","0.07342143906020558"
"legendary-sweep-60","train[:20%]","4086","85","100","0","150","0","2","19.164983238728514","0.07342143906020558"
"mild-sweep-14","train[:20%]","4086","31","70","0","50","1","2","19.50674805473069","0.07342143906020558"
"sweepy-sweep-88","train[:20%]","4086","41","100","1","50","1","2","17.27332928072274","0.048947626040137054"
"drawn-sweep-10","train[:20%]","4086","41","70","0","50","0","2","18.484426420969744","0.048947626040137054"
"deep-sweep-84","train[:20%]","4086","51","100","1","50","0","2","17.08140644386914","0.048947626040137054"
"crimson-sweep-143","train[:20%]","4086","123","80","1","150","1","3","23.026754830616422","0.048947626040137054"
"misunderstood-sweep-33","train[:20%]","4086","62","30","0","100","0","2","19.45425135495231","0.048947626040137054"
"vague-sweep-129","train[:20%]","4086","128","30","1","150","0","2","18.777458066050933","0.048947626040137054"
"vague-sweep-107","train[:20%]","4086","88","80","1","100","0","2","18.542713664781378","0.048947626040137054"
"azure-sweep-105","train[:20%]","4086","87","30","1","100","0","2","18.26731818995052","0.048947626040137054"
"jumping-sweep-37","train[:20%]","4086","44","30","0","100","1","2","22.337395676815632","0.048947626040137054"
"splendid-sweep-48","train[:20%]","4086","44","100","0","100","1","3","23.48144253171872","0.048947626040137054"
"drawn-sweep-9","train[:20%]","4086","46","30","0","50","0","2","18.3053875487484","0.048947626040137054"
"solar-sweep-69","train[:20%]","4086","62","30","0","150","1","3","23.479235116415392","0.048947626040137054"
"faithful-sweep-11","train[:20%]","4086","39","80","0","50","0","2","18.205614737778372","0.048947626040137054"
"restful-sweep-44","train[:20%]","4086","61","100","0","100","0","3","19.673282964955057","0.048947626040137054"
"solar-sweep-133","train[:20%]","4086","94","30","1","150","1","2","22.60971574813102","0.048947626040137054"
"earthy-sweep-85","train[:20%]","4086","41","30","1","50","1","2","17.231751357777657","0.024473813020068527"
"spring-sweep-67","train[:20%]","4086","84","80","0","150","0","3","19.558210736034347","0.024473813020068527"
"cool-sweep-114","train[:20%]","4086","88","70","1","100","0","3","18.80959587432629","0.024473813020068527"
"rural-sweep-138","train[:20%]","4086","127","70","1","150","0","3","19.12028224475694","0.024473813020068527"
"lyric-sweep-119","train[:20%]","4086","66","80","1","100","1","3","21.70845186748594","0.024473813020068527"
"restful-sweep-91","train[:20%]","4086","51","80","1","50","0","3","17.432525175140036","0.024473813020068527"
"volcanic-sweep-71","train[:20%]","4086","58","80","0","150","1","3","23.732684629512057","0.024473813020068527"
"hearty-sweep-82","train[:20%]","4086","51","70","1","50","0","2","17.00674380045345","0.024473813020068527"
"silver-sweep-115","train[:20%]","4086","89","80","1","100","0","3","18.85618646454621","0.024473813020068527"
"hardy-sweep-47","train[:20%]","4086","45","80","0","100","1","3","23.32668127956039","0.024473813020068527"
"ethereal-sweep-42","train[:20%]","4086","60","70","0","100","0","3","19.634722383419263","0.024473813020068527"
"unique-sweep-72","train[:20%]","4086","61","100","0","150","1","3","23.79613101481987","0.024473813020068527"
"hearty-sweep-70","train[:20%]","4086","61","70","0","150","1","3","23.737784725687657","0.024473813020068527"
"dry-sweep-142","train[:20%]","4086","112","70","1","150","1","3","22.812609487448547","0.024473813020068527"
"misunderstood-sweep-144","train[:20%]","4086","121","100","1","150","1","3","23.365188035954237","0.024473813020068527"
"lilac-sweep-45","train[:20%]","4086","45","30","0","100","1","3","23.24351587004761","0.024473813020068527"
"charmed-sweep-86","train[:20%]","4086","40","70","1","50","1","2","17.08169828231244","0.024473813020068527"
"amber-sweep-94","train[:20%]","4086","42","70","1","50","1","3","17.610575917003363","0"
"cerulean-sweep-46","train[:20%]","4086","44","70","0","100","1","3","23.05629276932764","0"
"dutiful-sweep-19","train[:20%]","4086","41","80","0","50","0","3","18.841523733571783","0"
"gallant-sweep-68","train[:20%]","4086","89","100","0","150","0","3","19.512883093912222","0"
"devout-sweep-141","train[:20%]","4086","127","30","1","150","1","3","23.175116244464192","0"
"fallen-sweep-43","train[:20%]","4086","61","80","0","100","0","3","19.58010250309193","0"
"dashing-sweep-65","train[:20%]","4086","78","30","0","150","0","3","19.24985728623253","0"
"olive-sweep-66","train[:20%]","4086","82","70","0","150","0","3","19.36119026604176","0"
"eager-sweep-89","train[:20%]","4086","51","30","1","50","0","3","17.65153161450775","0"
"balmy-sweep-116","train[:20%]","4086","90","100","1","100","0","3","19.1440846659288","0"
"vague-sweep-139","train[:20%]","4086","129","80","1","150","0","3","19.25794371555315","0"
"skilled-sweep-96","train[:20%]","4086","42","100","1","50","1","3","17.70802537751588","0"
"likely-sweep-81","train[:20%]","4086","49","30","1","50","0","2","17.32378393993455","0"
"devoted-sweep-117","train[:20%]","4086","71","30","1","100","1","3","21.575736140738968","0"
"dashing-sweep-23","train[:20%]","4086","30","80","0","50","1","3","20.401576266553143","0"
"olive-sweep-137","train[:20%]","4086","129","30","1","150","0","3","19.121452385357355","0"
"dark-sweep-93","train[:20%]","4086","41","30","1","50","1","3","17.86770087111737","0"
"fine-sweep-90","train[:20%]","4086","52","70","1","50","0","3","17.555538078276673","0"
"scarlet-sweep-22","train[:20%]","4086","30","70","0","50","1","3","20.28458033138112","0"
"frosty-sweep-118","train[:20%]","4086","68","70","1","100","1","3","21.64069798114561","0"
"still-sweep-20","train[:20%]","4086","40","100","0","50","0","3","18.920176694120997","0"
"hopeful-sweep-113","train[:20%]","4086","86","30","1","100","0","3","19.002033504498797","0"
"whole-sweep-140","train[:20%]","4086","144","100","1","150","0","3","19.548383734726062","0"
"fresh-sweep-24","train[:20%]","4086","30","100","0","50","1","3","20.194819657046775","0"
"grateful-sweep-17","train[:20%]","4086","38","30","0","50","0","3","19.095195203313107","0"
"sandy-sweep-21","train[:20%]","4086","30","30","0","50","1","3","20.50128256450851","0"
"generous-sweep-120","train[:20%]","4086","69","100","1","100","1","3","21.919328649406957","0"
"devout-sweep-18","train[:20%]","4086","39","70","0","50","0","3","18.87378716960036","0"
"colorful-sweep-95","train[:20%]","4086","41","80","1","50","1","3","17.66606311445076","0"
"fallen-sweep-41","train[:20%]","4086","60","30","0","100","0","3","19.72911045581347","0"
"vague-sweep-92","train[:20%]","4086","51","100","1","50","0","3","17.322050183478297","0"
